"address","lon","lat"
"Ohio Health, 180 E Broad St, Columbus, OH 43215, USA",-82.9958895,39.9632438
"181 Oval Dr S, Columbus, OH 43210, USA",-83.013488,39.9985711
"170 S Civic Center Dr, Columbus, OH 43215, USA",-83.0029791,39.9582742



